Type Name,Cyclomatic Complexity,Exception Handlers,Exception Throws,Method Length,Locals Variables,Object Instantiations,Stack Size,Number Of Fields,Number Of Methods,Nested Types,Properties,Depth In Tree,Total Toxicity
IListContract,0,0,0,0,0,0,27.2,0,0,0,0,0,27
DiscretionaryAcl,0,0,0,0,0,0,27.2,0,0,0,0,0,27
HashMembershipCondition,10.2,0,0,0,0,0,14.4,0,1.2,0,0,0,26
JapaneseLunisolarCalendar,0,0,0,0,0,0,25.2,1.3,0,0,0,0,26
TypeNameBuilder,4,0,0,0,0,0,20.8,0,1.55,0,0,0,26
EmptyReadOnlyDictionaryInternal,0,0,4,0,0,0,22.4,0,0,0,0,0,26
__ConsoleStream,6,0,0,0,0,0,20,0,0,0,0,0,26
DomainSpecificRemotingData,0,0,0,0,0,0,25.6,1.1,0,0,0,0,26
CustomAttributeTypedArgument,5.8,0,0,1.4975,0,0,17.6,0,0,0,0,0,26
GC,1.2,0,0,0,0,0,23.6,0,2.1,0,0,0,26
Decoder,7.4,0,2,0,0,0,17,0,0,0,0,0,26
MethodInfo,1.2,0,0,0,0,0,25.6,0,0,0,0,0,26
Tuple<T1,T2,T3,T4,T5,T6,T7>,3.6,0,0,0,0,0,22.4,0,0,0,0,0,26
OpCode,0,0,0,0,0,0,25.6,1.1,0,0,0,0,26
Mutex,4.8,0,1.66666666666667,0,0,0,18.8,0,0,0,0,0,25
ServerIdentity,2.2,0,0,0,0,0,22.4,0,1.1,0,0,0,25
RegistryPermissionAttribute,1.4,0,0,0,0,0,24,0,0,0,0,0,25
AssemblyBuilderData,7,0,2.66666666666667,3.0975,0,1.5,6.4,2.8,0,0,0,0,25
UnmanagedMemoryStreamWrapper,0,0,0,0,0,0,25.6,0,0,0,0,0,25
DateTimeFormatInfoScanner,14.6,0,0,0,0,0,8,1.8,0,0,0,0,25
SHA256Managed,2.2,0,0,1.9325,1.2,0,18.8,0,0,0,0,0,25
CodeConnectAccess,4.2,0,1.33333333333333,0,0,0,19.2,1.1,0,0,0,0,25
ManifestBasedResourceGroveler,13.6,0,0,3.6675,1.4,0,5.2,0,0,0,0,0,25
SafeBuffer,4.4,0,4.66666666666667,0,0,0,16,0,0,0,0,0,25
PolicyManager,8.6,0,1.33333333333333,1.145,1.06666666666667,1.5,11.2,0,0,0,0,0,25
SHA384Managed,2.2,0,0,1.9375,1.2,0,18.8,0,0,0,0,0,25
Queue,2.8,0,1.33333333333333,0,0,0,18.4,0,0,1.5,0,0,25
KeyContainerPermissionAccessEntry,6.6,0,0,0,0,0,19.2,0,0,0,0,0,25
StackBuilderSink,7.4,0,0,1.0025,1.13333333333333,0,15.6,0,0,0,0,0,25
SHA512Managed,2.2,0,0,1.9375,1.2,0,18.8,0,0,0,0,0,25
BaseChannelObjectWithProperties,1.8,0,0,0,0,0,24,0,0,0,0,0,25
GenericAce,8.6,0,2.66666666666667,1.1125,1.73333333333333,0,11.6,0,0,0,0,0,25
UrlIdentityPermission,11.4,0,0,0,0,0,12.8,0,0,0,0,0,25
ApplicationTrustCollection,3.2,0,1.33333333333333,0,0,0,19.2,0,1.25,0,0,0,24
StrongName,2.6,0,1.66666666666667,0,0,0,20.4,0,0,0,0,0,24
Tuple,0,0,0,0,0,0,24.2,0,0,0,0,0,24
KoreanLunisolarCalendar,0,0,0,0,0,0,23.2,1.2,0,0,0,0,24
MdFieldInfo,0,0,0,0,0,0,24,0,0,0,0,0,24
ParameterBuilder,0,0,0,0,0,0,24.8,0,0,0,0,0,24
StoreTransaction,3.4,0,0,2.2675,0,0,19.2,0,0,0,0,0,24
NamedPermissionSet,0,0,0,0,0,0,24,0,0,0,0,0,24
MemberInfo,2.8,0,0,0,0,0,20.8,0,1.05,0,0,0,24
ActivationServices,6.2,0,0,0,0,0,15.2,0,1.4,0,0,0,24
ObjectAce,7,0,0,1.4225,0,0,16,0,0,0,0,0,24
ChineseLunisolarCalendar,0,0,0,0,0,0,23.2,1.2,0,0,0,0,24
StringInfo,3.4,0,1.33333333333333,0,0,0,20.2,0,0,0,0,0,24
Tuple<T1,T2,T3,T4,T5,T6>,3.2,0,0,0,0,0,20.6,0,0,0,0,0,23
SiteIdentityPermission,11.4,0,0,0,0,0,11.2,0,0,0,0,0,23
TailStream,1.4,0,0,0,0,0,22,0,0,0,0,0,23
PathHelper,5.4,0,0,0,0,0,17.6,0,0,0,0,0,23
MessageDictionary,0,0,0,0,0,0,22.4,0,1.1,0,0,0,23
Converter,5.6,0,0,1.5575,0,0,9.6,4.7,0,0,0,0,23
CompressedStack,0,0,0,0,0,0,22.4,0,1.55,0,0,0,23
SpinLock,11.4,0,0,1.2225,0,0,11.2,0,0,0,0,0,23
CountdownEvent,0,0,0,0,0,0,22.4,0,1.1,0,0,0,23
Encoder,7.4,0,2,0,0,0,13.8,0,0,0,0,0,23
TimeSpanFormat,9.8,0,3,3.4625,1.06666666666667,1.83333333333333,3.2,0,0,0,0,0,23
TaskScheduler,2.2,0,0,0,0,0,19.2,0,1.35,0,0,0,22
IListContract<T>,0,0,0,0,0,0,22.4,0,0,0,0,0,22
LocalBuilder,0,0,0,0,0,0,22,0,0,0,0,0,22
PublisherIdentityPermission,11.6,0,0,0,0,0,9.6,0,0,0,0,0,22
IdentityHolder,9,0,0,0,0,0,12.8,0,0,0,0,0,22
FromBase64Transform,3.6,0,3.33333333333333,0,0,0,16,0,0,0,0,0,22
Lazy<T>,2.8,0,0,0,0,0,19.2,0,0,0,0,0,22
Latin1Encoding,8,0,0,1.4525,0,0,12.8,0,0,0,0,0,22
TrustManagerContext,0,0,0,0,0,0,22.4,0,0,0,0,0,22
TokenBasedSet,7.2,0,0,0,0,0,15.6,0,0,0,0,0,22
SoapMethodAttribute,0,0,0,0,0,0,22.4,0,0,0,0,0,22
PermissionSetTriple,1.4,0,0,0,0,0,20.8,0,0,0,0,0,22
ThrowHelper,0,0,0,1.6625,0,0,20.8,0,0,0,0,0,22
KeyContainerPermissionAttribute,0,0,0,0,0,0,22.2,0,0,0,0,0,22
CspParameters,0,0,0,0,0,0,22.4,0,0,0,0,0,22
ConcurrentQueue<T>,1.2,0,0,0,0,0,19.2,0,1.05,0,0,0,21
FileSystemInfo,1.2,0,0,0,0,0,17.6,0,1.3,0,1.2,0,21
Log,1.2,0,0,0,0,0,19.2,0,1.3,0,0,0,21
StringWriter,1.2,0,1.33333333333333,0,0,0,19.2,0,0,0,0,0,21
Tuple<T1,T2,T3,T4,T5>,2.8,0,0,0,0,0,18.8,0,0,0,0,0,21
EnvironmentPermission,7,0,0,0,0,0,14.4,0,0,0,0,0,21
ResourceSet,0,0,0,0,0,0,20.8,0,1.05,0,0,0,21
KeyContainerPermission,10.2,0,0,0,0,0,9.4,0,0,0,0,0,21
TypeLibConverter,4.8,0,2,1.015,0,1.83333333333333,9.4,0,0,0,0,0,20
BinaryMethodReturn,8.4,0,1.66666666666667,1.705,0,1.16666666666667,6.4,1.2,0,0,0,0,20
EventDescriptorInternal,1.6,0,1.33333333333333,0,0,0,17.6,0,0,0,0,0,20
RuntimeFieldInfo,0,0,0,0,0,0,20.8,0,0,0,0,0,20
PermissionSetAttribute,1.2,0,0,0,0,0,19.2,0,0,0,0,0,20
ActivationArguments,0,0,0,0,0,0,20.8,0,0,0,0,0,20
SoapQName,0,0,0,0,0,0,20.8,0,0,0,0,0,20
DebuggerVisualizerAttribute,0,0,0,0,0,0,20.8,0,0,0,0,0,20
WorkItem,0,0,0,0,0,0,18.8,1.2,0,0,0,0,20
RuntimeFieldHandle,0,0,0,0,0,0,19.2,0,1.7,0,0,0,20
RC2CryptoServiceProvider,2.8,0,1.66666666666667,0,0,0,16.4,0,0,0,0,0,20
KeyContainerPermissionAccessEntryCollection,1.4,0,1.33333333333333,0,0,0,17.6,0,0,0,0,0,20
Monitor,0,0,0,0,0,0,19.2,0,1.1,0,0,0,20
EventBuilder,0,0,0,0,0,0,20.4,0,0,0,0,0,20
EventProviderDataStream,5.6,0,0,0,0,0,15,0,0,0,0,0,20
InternalAssemblyBuilder,0,0,0,0,0,0,20.8,0,0,0,0,0,20
SoapMessage,0,0,0,0,0,0,20.8,0,0,0,0,0,20
SecurityPermission,1.4,0,0,0,0,0,17.6,1.2,0,0,0,0,20
CrossAppDomainChannel,1.2,0,0,0,0,0,19.2,0,0,0,0,0,20
Stack,2.8,0,1.33333333333333,0,0,0,12.8,0,0,1.5,0,0,19
EventProviderWriter,0,0,0,9.63,4,0,2.8,0,0,0,0,0,19
TypedReference,2.6,0,2.66666666666667,0,0,1.33333333333333,12.8,0,0,0,0,0,19
BCLDebug,4.2,0,0,1.015,0,2.16666666666667,12.4,0,0,0,0,0,19
CalendarData,9.2,0,0,4.6275,0,0,1.6,2.1,0,0,0,0,19
ReflectionPermissionAttribute,0,0,0,0,0,0,19.2,0,0,0,0,0,19
RemotingMethodCachedData,1.2,0,0,0,0,0,17.4,1.1,0,0,0,0,19
SystemAcl,0,0,0,0,0,0,19.6,0,0,0,0,0,19
AsyncResult,0,0,0,0,0,0,19.2,0,0,0,0,0,19
StreamContract,0,0,0,0,0,0,19.2,0,0,0,0,0,19
UnmanagedMarshal,3.2,0,0,0,0,0,16,0,0,0,0,0,19
HebrewNumber,4.4,0,0,3.735,1.26666666666667,4.5,3.2,0,0,1.5,0,0,19
AggregateDictionary,2.4,0,0,0,0,0,17.6,0,0,0,0,0,19
Partitioner,0,0,0,0,0,0,9.6,0,0,7.5,0,0,19
HostSecurityManager,2.4,0,1.33333333333333,0,0,0,14.4,0,0,0,0,0,18
ParallelLoopState,2.4,0,0,0,0,0,16,0,0,0,0,0,18
SemaphoreSlim,4.4,0,0,0,0,0,14.4,0,0,0,0,0,18
ToBase64Transform,2.8,0,3,0,0,0,12.8,0,0,0,0,0,18
ZoneMembershipCondition,2.6,0,0,0,0,0,15.6,0,0,0,0,0,18
WriteObjectInfo,3,0,0,0,0,0,12.6,1.7,0,0,0,0,18
MemberInfoSerializationHolder,6.4,0,3.33333333333333,2.2625,1.26666666666667,1.66666666666667,3.2,0,0,0,0,0,18
IsolatedStoragePermission,2.8,0,0,0,0,0,16,0,0,0,0,0,18
ApplicationSecurityInfo,2.4,0,0,1.06,0,1.16666666666667,13.4,0,0,0,0,0,18
FileLoadException,1.4,0,0,0,0,0,17.2,0,0,0,0,0,18
TextReader,2.8,0,1.33333333333333,0,0,0,14,0,0,0,0,0,18
Timer,0,0,4,0,0,0,14,0,0,0,0,0,18
Tuple<T1,T2,T3,T4>,2.4,0,0,0,0,0,16,0,0,0,0,0,18
TypeInfo,4,0,0,0,0,0,14.4,0,0,0,0,0,18
Store,0,0,0,0,0,0,12,0,1.15,5.5,0,0,18
Rfc2898DeriveBytes,1.2,0,0,0,0,0,16.8,0,0,0,0,0,17
DynamicResolver,5.2,0,0,0,0,0,11.2,0,0,0,0,0,17
DynamicScope,0,0,0,0,0,0,17.6,0,0,0,0,0,17
BinaryMethodCall,6.8,0,1.66666666666667,1.5,0,1.16666666666667,5.2,1.3,0,0,0,0,17
Site,0,0,0,0,0,0,17.6,0,0,0,0,0,17
SoapFault,1.4,0,0,0,0,0,16,0,0,0,0,0,17
Zone,0,0,0,0,0,0,17.6,0,0,0,0,0,17
Url,0,0,0,0,0,0,17.6,0,0,0,0,0,17
AppDomainManager,1.8,0,0,0,0,0,16,0,0,0,0,0,17
StringComparer,2.6,0,0,0,0,0,14.4,0,0,0,0,0,17
ZoneIdentityPermission,1.2,0,0,0,0,0,16,0,0,0,0,0,17
HMAC,1.2,0,0,0,0,0,16.8,0,0,0,0,0,17
SynchronizationContext,0,0,0,0,0,0,17.6,0,0,0,0,0,17
MarshalByRefObject,1.2,0,0,0,0,0,16.2,0,0,0,0,0,17
SoapMessageSurrogate,4.4,0,0,2.0975,2.13333333333333,1.16666666666667,7.6,0,0,0,0,0,17
ReaderWriterLock,0,0,0,0,0,0,16,0,1.5,0,0,0,17
PublisherMembershipCondition,2.6,0,0,0,0,0,14.4,0,0,0,0,0,17
ReadOnlyPermissionSet,0,0,0,0,0,0,17.6,0,0,0,0,0,17
SuppressMessageAttribute,0,0,0,0,0,0,17.6,0,0,0,0,0,17
CultureNotFoundException,0,0,0,0,0,0,17.6,0,0,0,0,0,17
Win32,7.4,0,3.66666666666667,0,0,2.66666666666667,4.2,0,0,0,0,0,17
EventWaitHandle,5.6,0,1.66666666666667,0,0,0,9.6,0,0,0,0,0,16
Hash,1.8,0,0,0,0,0,12.8,0,1.2,0,0,0,16
KeyedCollection<TKey,TItem>,5.2,0,0,0,0,0,11.2,0,0,0,0,0,16
AsAnyMarshaler,5,0,0,0,0,0,11.2,0,0,0,0,0,16
TaskCompletionSource<TResult>,1.8,0,0,0,0,0,14.4,0,0,0,0,0,16
GenericSecurityDescriptor,6,0,0,1.1675,0,0,9.6,0,0,0,0,0,16
RemotingCachedData,3.2,0,0,0,0,0,12.8,0,0,0,0,0,16
BadImageFormatException,1.4,0,0,0,0,0,15.6,0,0,0,0,0,16
FileNotFoundException,1.4,0,0,0,0,0,15.6,0,0,0,0,0,16
ComEventsSink,2,0,0,0,0,0,14.4,0,0,0,0,0,16
RuntimeResourceSet,6,0,0,1.5925,1.33333333333333,0,8,0,0,0,0,0,16
Tuple<T1,T2,T3>,0,0,0,0,0,0,16,0,0,0,0,0,15
SmuggledMethodCallMessage,2.6,0,0,0,0,0,12.8,0,0,0,0,0,15
AsyncFlowControl,1.2,0,1.33333333333333,0,0,0,12.8,0,0,0,0,0,15
EncoderFallbackException,0,0,0,0,0,0,16,0,0,0,0,0,15
ReflectionPermission,0,0,0,0,0,0,16,0,0,0,0,0,15
AbandonedMutexException,0,0,0,0,0,0,16,0,0,0,0,0,15
ConstructionCall,1.4,0,0,0,0,0,14.4,0,0,0,0,0,15
Interlocked,0,0,0,0,0,0,14.4,0,1.3,0,0,0,15
DriveInfo,2.4,0,0,0,0,0,12.8,0,0,0,0,0,15
ArraySegment<T>,0,0,1.33333333333333,0,0,0,14.4,0,0,0,0,0,15
SoapYear,0,0,0,0,0,0,16,0,0,0,0,0,15
EvidenceTypeDescriptor,0,0,0,0,0,0,16,0,0,0,0,0,15
SignatureDescription,0,0,0,0,0,0,16,0,0,0,0,0,15
ICollectionContract<T>,0,0,0,0,0,0,16,0,0,0,0,0,15
DebuggerDisplayAttribute,0,0,0,0,0,0,16,0,0,0,0,0,15
SiteMembershipCondition,2.6,0,0,0,0,0,12.8,0,0,0,0,0,15
Nullable<T>,0,0,0,0,0,0,16,0,0,0,0,0,15
ConfigNode,0,0,0,0,0,0,16,0,0,0,0,0,15
CodeAccessPermission,1.2,0,0,0,0,0,12.8,0,1.35,0,0,0,15
FileDialogPermission,0,0,0,0,0,0,16,0,0,0,0,0,15
SoapYearMonth,0,0,0,0,0,0,16,0,0,0,0,0,15
SecurityDocument,6.2,0,0,0,0,0,9.6,0,0,0,0,0,15
RuntimeHelpers,0,0,0,0,0,0,12.8,0,1.25,1.5,0,0,15
ApplicationId,1.8,0,1.33333333333333,0,0,0,11.2,0,0,0,0,0,14
ArgumentOutOfRangeException,0,0,0,0,0,0,14.4,0,0,0,0,0,14
DES,4,0,1.33333333333333,0,0,0,9.2,0,0,0,0,0,14
ConfigTreeParser,3.4,1.66666666666667,0,0,0,0,8,1.2,0,0,0,0,14
StrongNameHelpers,0,0,0,0,0,0,14,0,0,0,0,0,14
CspKeyContainerInfo,0,0,0,0,0,0,12.8,0,0,0,1.3,0,14
CustomAttributeNamedArgument,0,0,0,0,0,0,14.2,0,0,0,0,0,14
ContractFailedEventArgs,0,0,0,0,0,0,14.4,0,0,0,0,0,14
ThreadLocal<T>,1.2,0,0,0,0,0,3.2,0,0,10,0,0,14
FileCodeGroup,1.8,0,0,0,0,0,12.8,0,0,0,0,0,14
AggregateException,2.4,0,0,0,0,0,12.4,0,0,0,0,0,14
OperationCanceledException,0,0,0,0,0,0,14.4,0,0,0,0,0,14
SoapToken,1.6,0,0,0,0,0,12.8,0,0,0,0,0,14
RemotingSurrogateSelector,1.4,0,0,0,0,0,12.8,0,0,0,0,0,14
FileSystemEnumerableIterator<TSource>,7.4,0,0,1.5,0,0,3.2,1.6,0,0,0,0,14
ManifestBuilder,3,1.33333333333333,0,2.34,0,0,6.4,0,0,0,0,0,14
OperatingSystem,2.8,0,0,0,0,0,11.2,0,0,0,0,0,14
NotFiniteNumberException,0,0,0,0,0,0,14.4,0,0,0,0,0,14
ObfuscationAttribute,0,0,0,0,0,0,14.4,0,0,0,0,0,14
AllMembershipCondition,0,0,0,0,0,0,14.4,0,0,0,0,0,14
ConsoleKey,0,0,0,0,0,0,0,14.5,0,0,0,0,14
Tuple<T1>,0,0,0,0,0,0,14.4,0,0,0,0,0,14
ServerFault,0,0,0,0,0,0,14.4,0,0,0,0,0,14
Tuple<T1,T2>,0,0,0,0,0,0,14.4,0,0,0,0,0,14
ApplicationDirectoryMembershipCondition,1.6,0,0,0,0,0,12.8,0,0,0,0,0,14
RSAOAEPKeyExchangeFormatter,0,0,0,0,0,0,14.4,0,0,0,0,0,14
TypeNameParser,6,0,0,0,0,0,8.8,0,0,0,0,0,14
Signature,0,0,0,0,0,0,14,0,0,0,0,0,14
DSA,2.6,0,2.33333333333333,1.53,1.13333333333333,1.33333333333333,4.8,0,0,0,0,0,13
AsymmetricAlgorithm,1.2,0,0,0,0,0,12.8,0,0,0,0,0,13
ConditionalWeakTable<TKey,TValue>,4.8,0,0,1.0925,0,0,6.4,0,0,0,0,0,13
IsolatedStorageFilePermission,5.8,0,0,0,0,0,8,0,0,0,0,0,13
PermissionToken,1.4,0,0,0,0,0,12,0,0,0,0,0,13
StrongNameIdentityPermissionAttribute,1.6,0,0,0,0,1.16666666666667,11.2,0,0,0,0,0,13
CrossContextChannel,2.8,0,0,0,0,0,10.4,0,0,0,0,0,13
GenericAcl,1.2,0,1.33333333333333,0,0,0,11.2,0,0,0,0,0,13
MetadataColumn,0,0,0,0,0,0,0,13.3,0,0,0,0,13
ConsoleKeyInfo,1.2,0,0,0,0,0,12.8,0,0,0,0,0,13
Publisher,2,0,0,0,0,0,11.2,0,0,0,0,0,13
CurrentSystemTimeZone,5,0,0,0,0,0,8.6,0,0,0,0,0,13
TplEtwProvider,0,0,0,0,0,0,13.8,0,0,0,0,0,13
BaseCodePageEncoding,0,0,0,0,0,0,11.2,1.1,0,1.5,0,0,13
MarshalAsAttribute,0,0,0,0,0,0,13.4,0,0,0,0,0,13
SHA1Managed,2.2,0,0,2.7475,0,0,7.2,0,0,0,0,0,13
StackFrameHelper,0,0,0,0,0,0,12.8,1.1,0,0,0,0,13
EventWrittenEventArgs,1.2,0,0,0,0,0,12.8,0,0,0,0,0,13
CDSCollectionETWBCLProvider,0,0,0,0,0,0,12.2,0,0,0,0,0,12
RawAcl,1.2,0,1.33333333333333,0,0,0,9.6,0,0,0,0,0,12
OrderablePartitioner<TSource>,0,0,0,0,0,0,12.8,0,0,0,0,0,12
ExceptionHandlingClause,1.2,0,0,0,0,0,11.2,0,0,0,0,0,12
LogSwitch,1.2,0,0,0,0,0,11.2,0,0,0,0,0,12
FileSystemAccessRule,1.4,0,0,0,0,0,11.2,0,0,0,0,0,12
RSAPKCS1KeyExchangeDeformatter,1.2,0,0,0,0,0,11.2,0,0,0,0,0,12
SZArrayHelper,0,0,0,0,0,0,12.8,0,0,0,0,0,12
SoapNcName,0,0,0,0,0,0,12.8,0,0,0,0,0,12
SoapId,0,0,0,0,0,0,12.8,0,0,0,0,0,12
SoapIdref,0,0,0,0,0,0,12.8,0,0,0,0,0,12
SoapNmtokens,0,0,0,0,0,0,12.8,0,0,0,0,0,12
MissingFieldException,0,0,0,0,0,0,11,0,0,0,0,1.25,12
MemoryFailPoint,5.4,0,1.33333333333333,1.1925,1.2,0,3.2,0,0,0,0,0,12
MissingMethodException,0,0,0,0,0,0,11.4,0,0,0,0,1.25,12
PEFileEvidenceFactory,1.6,0,0,0,0,0,11.2,0,0,0,0,0,12
ParallelForReplicaTask,0,0,0,0,0,0,12.8,0,0,0,0,0,12
TypeLoadException,1.2,0,0,0,0,0,10.8,0,0,0,0,0,12
HostProtectionPermission,0,0,0,0,0,0,12.8,0,0,0,0,0,12
ParallelOptions,0,0,0,0,0,0,12.8,0,0,0,0,0,12
SoapEntity,0,0,0,0,0,0,12.8,0,0,0,0,0,12
SoapAttribute,0,0,0,0,0,0,12.8,0,0,0,0,0,12
SoapNmtoken,0,0,0,0,0,0,12.8,0,0,0,0,0,12
Internal,0,0,0,1.45,0,9,1.6,0,0,0,0,0,12
SoapInteger,0,0,0,0,0,0,12.8,0,0,0,0,0,12
SoapAnyUri,0,0,0,0,0,0,12.8,0,0,0,0,0,12
SoapHexBinary,0,0,0,0,0,0,12.4,0,0,0,0,0,12
SoapMonthDay,0,0,0,0,0,0,12.8,0,0,0,0,0,12
SoapDay,0,0,0,0,0,0,12.8,0,0,0,0,0,12
SoapMonth,0,0,0,0,0,0,12.8,0,0,0,0,0,12
SoapIdrefs,0,0,0,0,0,0,12.8,0,0,0,0,0,12
ArrayWithOffset,0,0,0,0,0,0,12.8,0,0,0,0,0,12
SoapEntities,0,0,0,0,0,0,12.8,0,0,0,0,0,12
SoapName,0,0,0,0,0,0,12.8,0,0,0,0,0,12
SoapNotation,0,0,0,0,0,0,12.8,0,0,0,0,0,12
SoapNormalizedString,0,0,0,0,0,0,12.8,0,0,0,0,0,12
SoapLanguage,0,0,0,0,0,0,12.8,0,0,0,0,0,12
FieldToken,0,0,0,0,0,0,12.8,0,0,0,0,0,12
ArgumentException,0,0,0,0,0,0,12.8,0,0,0,0,0,12
ApplicationIdentity,0,0,0,0,0,0,12.8,0,0,0,0,0,12
GacMembershipCondition,0,0,0,0,0,0,12.8,0,0,0,0,0,12
AttributeUsageAttribute,0,0,0,0,0,0,12.8,0,0,0,0,0,12
EventToken,0,0,0,0,0,0,12.8,0,0,0,0,0,12
PropertyToken,0,0,0,0,0,0,12.8,0,0,0,0,0,12
SignatureToken,0,0,0,0,0,0,12.8,0,0,0,0,0,12
TypeToken,0,0,0,0,0,0,12.8,0,0,0,0,0,12
MethodRental,2,0,1.66666666666667,0,0,0,9.2,0,0,0,0,0,12
MethodToken,0,0,0,0,0,0,12.8,0,0,0,0,0,12
ParameterToken,0,0,0,0,0,0,12.8,0,0,0,0,0,12
BuiltInPermissionSets,0,0,0,0,0,0,11.2,1.6,0,0,0,0,12
AssemblyEvidenceFactory,1.2,0,0,0,0,0,11,0,0,0,0,0,12
PrincipalPermissionAttribute,0,0,0,0,0,0,12.8,0,0,0,0,0,12
ArgMapper,2.6,0,0,1.06,1.33333333333333,0,8,0,0,0,0,0,12
UnitySerializationHolder,5.8,0,0,1.385,0,0,3.2,2,0,0,0,0,12
IllogicalCallContext,0,0,0,0,0,0,12.8,0,0,0,0,0,12
DelegateSerializationHolder,7,0,0,0,0,0,5.6,0,0,0,0,0,12
SoapTime,0,0,0,0,0,0,11.4,0,0,0,0,0,11
PublisherIdentityPermissionAttribute,0,0,0,0,0,0,11.2,0,0,0,0,0,11
RegisteredChannelList,0,0,0,0,0,0,11.2,0,0,0,0,0,11
StringReader,3.4,0,1.33333333333333,0,0,0,6.4,0,0,0,0,0,11
Iterator<TSource>,0,0,0,0,0,0,11.2,0,0,0,0,0,11
EnvironmentPermissionAttribute,0,0,0,0,0,0,11.2,0,0,0,0,0,11
SoapDate,0,0,0,0,0,0,11.2,0,0,0,0,0,11
CrossAppDomainSink,5.8,0,0,0,0,0,6,0,0,0,0,0,11
HostProtectionException,0,0,0,0,0,0,11.2,0,0,0,0,0,11
AuthorizationRule,1.8,0,1.66666666666667,0,0,0,8,0,0,0,0,0,11
TypeEntry,0,0,0,0,0,0,11.2,0,0,0,0,0,11
DictionaryEnumeratorByKeys,0,0,0,0,0,0,11.2,0,0,0,0,0,11
LifetimeServices,0,0,0,0,0,0,11.2,0,0,0,0,0,11
IdentityNotMappedException,0,0,0,0,0,0,11.2,0,0,0,0,0,11
RemotingXmlConfigFileData,0,0,0,0,0,1.16666666666667,2.8,1.2,0,6,0,0,11
ReadOnlyCollectionBase,0,0,0,0,0,0,11.2,0,0,0,0,0,11
TransitionCall,0,0,0,0,0,0,11.2,0,0,0,0,0,11
StrongNamePublicKeyBlob,0,0,0,0,0,0,11.2,0,0,0,0,0,11
InternalST,0,0,0,0,0,0,11.2,0,0,0,0,0,11
CriticalHandle,0,0,0,0,0,0,11.2,0,0,0,0,0,11
FastResourceComparer,1.8,0,0,0,0,0,9.6,0,0,0,0,0,11
Object,0,0,0,0,0,0,11.2,0,0,0,0,0,11
ApplicationDirectory,0,0,0,0,0,0,11.2,0,0,0,0,0,11
IsolatedStorageFileEnumerator,3.6,0,0,1.1375,0,0,6.4,0,0,0,0,0,11
MemberPrimitiveUnTyped,0,0,0,0,0,0,11.2,0,0,0,0,0,11
Label,0,0,0,0,0,0,11.2,0,0,0,0,0,11
SortKey,2.2,0,0,0,0,0,9.6,0,0,0,0,0,11
StringToken,0,0,0,0,0,0,11.2,0,0,0,0,0,11
BinaryMethodCallMessage,0,0,0,0,0,0,11.2,0,0,0,0,0,11
DecoderFallbackException,0,0,0,0,0,0,11.2,0,0,0,0,0,11
DecoderFallbackBuffer,3.4,0,0,0,0,0,7.8,0,0,0,0,0,11
MethodBody,0,0,0,0,0,0,11.2,0,0,0,0,0,11
TripleDESCryptoServiceProvider,2.4,0,0,0,0,0,8.8,0,0,0,0,0,11
RNGCryptoServiceProvider,0,0,0,0,0,0,11.2,0,0,0,0,0,11
ContractException,0,0,0,0,0,0,11.2,0,0,0,0,0,11
DebuggerTypeProxyAttribute,0,0,0,0,0,0,11.2,0,0,0,0,0,11
SoapBase64Binary,0,0,0,0,0,0,11.2,0,0,0,0,0,11
CommonAce,5.4,0,0,0,0,0,6.4,0,0,0,0,0,11
SymbolToken,0,0,0,0,0,0,11.2,0,0,0,0,0,11
UrlAttribute,0,0,0,0,0,0,11.2,0,0,0,0,0,11
RSAPKCS1KeyExchangeFormatter,0,0,0,0,0,0,11.2,0,0,0,0,0,11
CallContext,0,0,0,0,0,0,11.2,0,0,0,0,0,11
TripleDES,1.4,0,1.33333333333333,0,0,0,9.2,0,0,0,0,0,11
GacInstalled,0,0,0,0,0,0,11.2,0,0,0,0,0,11
UnionCodeGroup,1.8,0,0,0,0,0,9.6,0,0,0,0,0,11
HostExecutionContext,0,0,0,0,0,0,11.2,0,0,0,0,0,11
__Filters,8.4,0,0,0,0,0,2.8,0,0,0,0,0,11
DuplicateWaitObjectException,0,0,0,0,0,0,11.2,0,0,0,0,0,11
ThreadPoolWorkQueue,3.8,1.66666666666667,0,0,0,0,3.2,0,0,1.5,0,0,11
SafeHandle,0,0,0,0,0,0,11.2,0,0,0,0,0,11
InternalActivationContextHelper,0,0,0,0,0,0,11.2,0,0,0,0,0,11
TaskExceptionHolder,3.8,0,0,0,0,0,8,0,0,0,0,0,11
ObjectDisposedException,0,0,0,0,0,0,11.2,0,0,0,0,0,11
DESCryptoServiceProvider,2.2,0,0,0,0,0,8,0,0,0,0,0,10
FileStreamAsyncResult,1.2,0,0,0,0,0,8,1.2,0,0,0,0,10
OverlappedDataCache,5.6,0,0,0,0,0,4.8,0,0,0,0,0,10
EUCJPEncoding,6.4,0,0,1.2825,0,0,1.6,0,0,0,0,1.25,10
ThreadPoolTaskScheduler,0,0,0,0,0,0,10.8,0,0,0,0,0,10
SoapDuration,2.6,0,0,1.57,1.13333333333333,1.66666666666667,3.2,0,0,0,0,0,10
StubHelpers,0,0,0,0,0,0,8,0,2.1,0,0,0,10
ContextAttribute,1.2,0,0,0,0,0,9.6,0,0,0,0,0,10
InternalDecoderBestFitFallbackBuffer,2.4,0,0,0,0,0,8,0,0,0,0,0,10
