Type Name,Cyclomatic Complexity,Exception Handlers,Exception Throws,Method Length,Locals Variables,Object Instantiations,Stack Size,Number Of Fields,Number Of Methods,Nested Types,Properties,Depth In Tree,Total Toxicity
Variant,3,0,0,2.87,0,0,70.4,0,2.45,1.5,2.3,0,84
TaskFactory<TResult>,1.2,0,0,0,0,1.33333333333333,71.0000000000001,0,2.85,4.5,0,0,82
Guid,37.6,0,1.66666666666667,7.26,0,0,25.2,1.2,2.05,2,0,0,81
ArrayList,6,0,0,0,0,0,59.2,0,2.85,5.5,0,0,81
FileIOPermission,42.8,0,0,2.105,0,1.33333333333333,29.2,0,1.85,0,0,0,80
Path,43.6,0,5.66666666666667,3.9025,2.13333333333333,3.16666666666667,16,1.5,1.7,0,0,0,80
__BinaryParser,11.4,0,0,9.9925,0,0,47.8,2.6,2.4,0,0,0,78
TimeSpanParse,43.6,0,0,9.4725,1.4,0,11.8,0,1.15,4.5,0,0,78
__BinaryWriter,3.8,0,0,1.06,0,0,66.2,2.3,2.45,0,0,0,77
ConcurrentDictionary<TKey,TValue>,13.4,0,1.33333333333333,0,0,0,52.8,0,3.2,1.5,1.4,0,76
RemotingXmlConfigFileParser,39.4,0,0,8.29,2.33333333333333,10.1666666666667,9.2,0,2.15,0,0,0,76
IsolatedStorage,17.4,0,2,0,0,2.66666666666667,44.4,3.4,2.35,0,1.4,0,75
RuntimeAssembly,7.8,0,0,0,0,0,56.6,0,6.05,0,1.7,0,74
WindowsIdentity,10.6,2.66666666666667,4,2.205,1.66666666666667,2,45.8,0,2.6,0,1.2,0,74
RegistrationServices,34.8,8.66666666666667,3.66666666666667,6.0275,1.06666666666667,0,14,1.1,1.45,0,0,0,74
MethodResponse,12.4,0,0,2.52,1.4,1.16666666666667,49,1.5,2,0,1.6,0,73
TypeDelegator,0,0,0,0,0,0,70.6,0,2.2,0,1.1,0,73
ResourceReader,22.2,0,9.66666666666667,8.6075,1.2,4.66666666666667,17.8,1.8,1.65,0,0,0,72
Dictionary<TKey,TValue>,11.6,0,0,0,0,0,49.6,1.5,2.55,2,1.5,0,72
Delegate,17,0,13.3333333333333,0,0,1.33333333333333,36.2,0,2.35,0,0,0,71
File,5.4,3,8,0,0,0,48.6,0,3.35,0,0,0,71
RuntimeConstructorInfo,8.8,0,2.66666666666667,0,0,1.33333333333333,52,1.3,2.1,0,2,0,71
Enum,12.2,0,3,1.1525,0,1.5,46.4,0,2.95,1.5,0,0,71
ObjectWriter,27.8,0,0,6.8325,1.4,0,28.4,2.2,1.75,0,0,0,71
URLString,31.2,0,3,2.145,0,0,29.6,1.2,1.75,0,0,0,71
SecurityIdentifier,12.8,0,8.66666666666667,2.2,1.66666666666667,3.16666666666667,37.8,0,1.8,0,0,0,70
EventProviderBase,32.2,0,0,4.3475,0,0,25.8,1.4,2.2,0,0,0,70
Attribute,17.6,0,2.66666666666667,0,1.06666666666667,0,43.2,0,2.8,0,0,0,69
TextWriter,1.2,0,1.33333333333333,0,0,0,62.8,0,2.35,0,0,0,68
UTF32Encoding,32.2,0,4,4.4175,0,0,23.6,0,1.45,0,0,0,68
Double,4,0,0,0,0,0,62.4,0,2.25,0,0,0,68
ConstructorBuilder,1.4,0,0,0,0,0,63.8,0,2.05,0,1.1,0,68
CustomAttribute,19,0,1.66666666666667,3.63,2.13333333333333,0,37.4,0,1.9,0,0,0,68
Evidence,19,0,0,0,0,0,36.8,1.1,3.25,2.5,1.1,0,67
FrameworkEventSource,0,0,0,0,0,0,65,0,2.4,0,0,0,67
DefaultBinder,42.8,0,0,7.4575,2,0,11.2,0,1.1,0,0,0,67
UTF7Encoding,28.6,0,4,1.055,0,0,28,0,1.35,2,0,0,67
SecurityException,4.4,0,0,1.31,0,0,53.2,2.6,2.3,0,1.3,0,66
ObjectHolder,2.8,0,0,0,0,0,57.6,2.1,2.05,0,2.1,0,66
Single,4,0,0,0,0,0,59.2,0,2.15,0,0,0,65
Calendar,1.8,0,0,0,0,0,56.2,4.2,3.05,0,0,0,65
GregorianCalendar,15.8,0,1.33333333333333,0,0,0,41.4,1.1,1.85,0,0,0,63
ObjectManager,22.4,0,3.66666666666667,2.92,0,1.16666666666667,27,1.6,2,0,0,0,63
